index,Open,High,Low,Close,Volume,Adj Close
2019-03-25,0.03,0.04,0.01653,0.01967,9313542624.3,
2019-04-01,0.01965,0.0226,0.01736,0.01857,1463915609.4,
2019-04-08,0.01855,0.02005,0.01655,0.01768,1385495166.2,
2019-04-15,0.01768,0.019,0.0168,0.01747,787561154.9,
2019-04-22,0.01742,0.01849,0.01059,0.01125,1570206554.5,
2019-04-29,0.01125,0.01144,0.00864,0.00918,806215460.7,
2019-05-06,0.00917,0.01068,0.00715,0.00892,2139886429.2,
2019-05-13,0.00888,0.0175,0.00871,0.01727,4496565968.8,
2019-05-20,0.01729,0.02599,0.01257,0.01419,7752551864.9,
2019-05-27,0.01419,0.0192,0.01301,0.01735,3317924245.6,
2019-06-03,0.01738,0.02062,0.01501,0.01848,2925352035.0,
2019-06-10,0.01847,0.0221,0.0161,0.01879,2134592685.7,
2019-06-17,0.01879,0.02025,0.01681,0.01698,1386646827.9,
2019-06-24,0.01697,0.0225,0.01387,0.0171,1868071252.8,
2019-07-01,0.01716,0.01979,0.01511,0.0158,1327570563.4,
2019-07-08,0.01581,0.01725,0.01132,0.0114,1203364894.7,
2019-07-15,0.0114,0.01169,0.00938,0.01098,701779837.4,
2019-07-22,0.01098,0.01105,0.00865,0.00907,618667225.6,
2019-07-29,0.00909,0.0094,0.00836,0.00846,355019053.7,
2019-08-05,0.00851,0.0113,0.00757,0.00834,1523029951.1,
2019-08-12,0.00839,0.00938,0.00735,0.00784,1546441119.4,
2019-08-19,0.00784,0.00912,0.0073,0.00738,1440847850.6,
2019-08-26,0.0074,0.00765,0.00557,0.0057,457898299.6,
2019-09-02,0.00572,0.00635,0.00525,0.00557,581895952.5,
2019-09-09,0.00556,0.00598,0.00502,0.00532,601982935.0,
2019-09-16,0.00534,0.00606,0.00522,0.00563,818268585.3,
2019-09-23,0.00563,0.00635,0.00403,0.00432,537791996.7,
2019-09-30,0.00432,0.00484,0.00405,0.00435,213804482.3,
2019-10-07,0.00438,0.00566,0.00434,0.00506,860694728.3,
2019-10-14,0.00505,0.00548,0.00415,0.00438,400594057.4,
2019-10-21,0.00436,0.00452,0.00371,0.00419,339051237.7,
2019-10-28,0.00418,0.00454,0.004,0.00438,456313238.5,
2019-11-04,0.00434,0.00478,0.00397,0.00421,405307871.4,
2019-11-11,0.0042,0.0047,0.00398,0.00444,348648318.9,
2019-11-18,0.00443,0.00445,0.00322,0.00374,391137067.6,
2019-11-25,0.00373,0.00525,0.00341,0.00477,710744393.1,
2019-12-02,0.00476,0.00599,0.00431,0.00547,820934796.8,
2019-12-09,0.00544,0.00558,0.00371,0.00398,572812461.2,
2019-12-16,0.00399,0.00413,0.0032,0.00399,298583117.7,
2019-12-23,0.00399,0.004,0.00354,0.00375,156977734.0,
2019-12-30,0.00375,0.00377,0.00331,0.00349,173543835.6,
2020-01-06,0.00349,0.00361,0.00309,0.00346,303026990.9,
2020-01-13,0.00347,0.00375,0.00319,0.00337,421724981.8,
2020-01-20,0.00338,0.00351,0.00315,0.00336,313856717.2,
2020-01-27,0.00337,0.00351,0.00318,0.0034,290905219.1,
2020-02-03,0.0034,0.0044,0.00333,0.00423,766408761.3,
2020-02-10,0.00424,0.00566,0.00401,0.00429,1005461920.2,
2020-02-17,0.00428,0.00454,0.00371,0.00419,473181842.3,
2020-02-24,0.00418,0.0042,0.00311,0.00326,361477213.5,
2020-03-02,0.00325,0.00378,0.00287,0.0029,299342898.5,
2020-03-09,0.00292,0.00353,0.00091,0.00138,879999810.7,
2020-03-16,0.00137,0.00175,0.001,0.00137,641682888.7,
2020-03-23,0.00136,0.00346,0.00133,0.00145,570918735.4,
2020-03-30,0.00145,0.00168,0.0014,0.00161,344848307.2,
2020-04-06,0.00161,0.00186,0.00153,0.00162,428786780.9,
2020-04-13,0.00161,0.00178,0.00142,0.00162,540446773.6,
2020-04-20,0.00162,0.00215,0.00148,0.00203,961318019.4,
2020-04-27,0.00203,0.00209,0.00177,0.00196,718242483.4,
2020-05-04,0.00197,0.00228,0.0017,0.00183,893402229.5,
