index,Open,High,Low,Close,Volume,Adj Close
2019-02-25,0.33,0.489,0.301,0.3639,367588688.86,
2019-03-04,0.3639,0.3782,0.238,0.255,359690347.98,
2019-03-11,0.2548,0.2768,0.2087,0.2361,236522636.22,
2019-03-18,0.236,0.2392,0.195,0.2084,308404833.65,
2019-03-25,0.2087,0.2239,0.1777,0.1973,393180034.09,
2019-04-01,0.1971,0.2231,0.188,0.2027,412740289.33,
2019-04-08,0.2024,0.2186,0.1699,0.1906,268819803.66,
2019-04-15,0.1905,0.2488,0.179,0.2328,293022527.85,
2019-04-22,0.2328,0.2463,0.1407,0.1467,231902629.04,
2019-04-29,0.1465,0.1499,0.1187,0.1219,219528857.96,
2019-05-06,0.1219,0.127,0.0875,0.1147,205660151.65,
2019-05-13,0.1149,0.2156,0.1141,0.2059,349909384.72,
2019-05-20,0.2059,0.3422,0.1478,0.1741,911975910.24,
2019-05-27,0.1738,0.2115,0.156,0.2,466425347.04,
2019-06-03,0.1999,0.2361,0.1624,0.2048,580104239.99,
2019-06-10,0.205,0.2559,0.1865,0.2005,695237260.09,
2019-06-17,0.2004,0.225,0.1734,0.1766,499659710.52,
2019-06-24,0.1767,0.1873,0.1414,0.1527,390576978.36,
2019-07-01,0.1526,0.1651,0.1329,0.1451,174481853.91,
2019-07-08,0.1451,0.1479,0.1044,0.1045,116033852.95,
2019-07-15,0.1045,0.112,0.09,0.1028,91001199.76,
2019-07-22,0.103,0.1144,0.0845,0.0902,146594998.72,
2019-07-29,0.0902,0.0947,0.0775,0.078,101687778.98,
2019-08-05,0.078,0.0906,0.0725,0.0758,151128289.35,
2019-08-12,0.0758,0.0802,0.065,0.067,63011972.06,
2019-08-19,0.0669,0.0723,0.0609,0.0626,124906031.66,
2019-08-26,0.0628,0.0634,0.0477,0.0488,135780451.77,
2019-09-02,0.0488,0.0576,0.0481,0.0536,212303573.89,
2019-09-09,0.0535,0.0603,0.0507,0.0599,232853723.87,
2019-09-16,0.0598,0.063,0.0518,0.0532,206094148.25,
2019-09-23,0.0532,0.0532,0.0314,0.0351,250842633.03,
2019-09-30,0.0351,0.0382,0.0322,0.0376,163605616.98,
2019-10-07,0.0377,0.05,0.0368,0.0428,332645942.28,
2019-10-14,0.0428,0.0533,0.038,0.04,367673912.99,
2019-10-21,0.0399,0.04154,0.03489,0.03999,411087978.98,
2019-10-28,0.03999,0.0427,0.03702,0.04025,259708344.14,
2019-11-04,0.0403,0.04452,0.038,0.04049,458832524.01,
